Name           Firm          Model          Speed          Price           Date
1              1              1              1              1              1
2              2              2              2              2              2
3              3              3              3              3              3
Victor         abobus             23            150         120000     24.05.2005
7              7              7              7              7              7
A              A              A              1              1              A
B              B              B              2              2              B
maksim          aboba             S8            200           5000     30.02.2023
1              1              1              1              1              1
2              2              2              2              2              2
3              3              3              3              3              3
Victor         abobus             23            150         120000     24.05.2005
7              7              7              7              7              7
A              A              A              1              1              A
B              B              B              2              2              B
maksim          aboba             S8            200           5000     30.02.2023
matveyCum            cum       cum-shot            120           4000     11.04.2023
1              1              1              1              1              1
2              2              2              2              2              2
3              3              3              3              3              3
Victor         abobus             23            150         120000     24.05.2005
7              7              7              7              7              7
A              A              A              1              1              A
B              B              B              2              2              B
maksim          aboba             S8            200           5000     30.02.2023
matveyCum            cum       cum-shot            120           4000     11.04.2023
7              7              7              7              7              7
